Name ,Group,Year,Value,subGroup,city_id,lastValue,lat,long,colour,rank
Bar Hill,,#N/A,,,,#N/A,,,,
Bar Hill,,#N/A,,,,#N/A,,,,
Bar Hill,,#N/A,,,,#N/A,,,,
Bar Hill,,#N/A,,,,#N/A,,,,
Bar Hill,,#N/A,,,,#N/A,,,,
Bar Hill,,#N/A,,,,#N/A,,,,
Bar Hill,,#N/A,,,,#N/A,,,,
Bar Hill,,#N/A,,,,#N/A,,,,
Bar Hill,,#N/A,,,,#N/A,,,,
Bar Hill,,#N/A,,,,#N/A,,,,
Bar Hill,,#N/A,,,,#N/A,,,,
Bar Hill,,#N/A,,,,#N/A,,,,
Bar Hill,,#N/A,,,,#N/A,,,,
Bar Hill,,#N/A,,,,#N/A,,,,
Bar Hill,,#N/A,,,,#N/A,,,,
Bar Hill,,#N/A,,,,#N/A,,,,
Bar Hill,,1971,674,,,0,,,,
Bar Hill,,1981,2434,,,674,,,,
Bar Hill,,1991,4285,,,2434,,,,
Bar Hill,,2001,4233,,,4285,,,,
Bar Hill,,2011,4032,,,4233,,,,
Bassingbourn-cum-Kneesworth,,1801,948,,,0,,,,
Bassingbourn-cum-Kneesworth,,1811,982,,,948,,,,
Bassingbourn-cum-Kneesworth,,1821,1213,,,982,,,,
Bassingbourn-cum-Kneesworth,,1831,1446,,,1213,,,,
Bassingbourn-cum-Kneesworth,,1841,1774,,,1446,,,,
Bassingbourn-cum-Kneesworth,,1851,2148,,,1774,,,,
Bassingbourn-cum-Kneesworth,,1861,2213,,,2148,,,,
Bassingbourn-cum-Kneesworth,,1871,2730,,,2213,,,,
Bassingbourn-cum-Kneesworth,,1881,2717,,,2730,,,,
Bassingbourn-cum-Kneesworth,,1891,2629,,,2717,,,,
Bassingbourn-cum-Kneesworth,,1901,1234,,,2629,,,,
Bassingbourn-cum-Kneesworth,,1911,1201,,,1234,,,,
Bassingbourn-cum-Kneesworth,,1921,1136,,,1201,,,,
Bassingbourn-cum-Kneesworth,,1931,1138,,,1136,,,,
Bassingbourn-cum-Kneesworth,,1951,2687,,,1138,,,,
Bassingbourn-cum-Kneesworth,,1961,2653,,,2687,,,,
Bassingbourn-cum-Kneesworth,,1971,3016,,,2653,,,,
Bassingbourn-cum-Kneesworth,,1981,4249,,,3016,,,,
Bassingbourn-cum-Kneesworth,,1991,3439,,,4249,,,,
Bassingbourn-cum-Kneesworth,,2001,4005,,,3439,,,,
Bassingbourn-cum-Kneesworth,,2011,3583,,,4005,,,,
Brampton,,1801,780,,,0,,,,
Brampton,,1811,809,,,780,,,,
Brampton,,1821,1064,,,809,,,,
Brampton,,1831,1064,,,1064,,,,
Brampton,,1841,1164,,,1064,,,,
Brampton,,1851,1281,,,1164,,,,
