Name ,Year,Population,lastValue,colour,rank
Bar Hill,1971,674,674,#00ffcc,11
Bar Hill,1981,2434,674,#00ffcc,10
Bar Hill,1991,4285,2434,#00ffcc,6
Bar Hill,2001,4233,4285,#00ffcc,6
Bar Hill,2011,4032,4233,#00ffcc,7
Bassingbourn-cum-Kneesworth,1801,948,0,#00ffcc,5
Bassingbourn-cum-Kneesworth,1811,982,948,#00ffcc,6
Bassingbourn-cum-Kneesworth,1821,1213,982,#00ffcc,6
Bassingbourn-cum-Kneesworth,1831,1446,1213,#00ffcc,5
Bassingbourn-cum-Kneesworth,1841,1774,1446,#00ffcc,5
Bassingbourn-cum-Kneesworth,1851,2148,1774,#00ffcc,5
Bassingbourn-cum-Kneesworth,1861,2213,2148,#00ffcc,4
Bassingbourn-cum-Kneesworth,1871,2730,2213,#00ffcc,3
Bassingbourn-cum-Kneesworth,1881,2717,2730,#00ffcc,3
Bassingbourn-cum-Kneesworth,1891,2629,2717,#00ffcc,3
Bassingbourn-cum-Kneesworth,1901,1234,2629,#00ffcc,7
Bassingbourn-cum-Kneesworth,1911,1201,1234,#00ffcc,7
Bassingbourn-cum-Kneesworth,1921,1136,1201,#00ffcc,7
Bassingbourn-cum-Kneesworth,1931,1138,1136,#00ffcc,7
Bassingbourn-cum-Kneesworth,1951,2687,1138,#00ffcc,3
Bassingbourn-cum-Kneesworth,1961,2653,2687,#00ffcc,5
Bassingbourn-cum-Kneesworth,1971,3016,2653,#00ffcc,6
Bassingbourn-cum-Kneesworth,1981,4249,3016,#00ffcc,5
Bassingbourn-cum-Kneesworth,1991,3439,4249,#00ffcc,7
Bassingbourn-cum-Kneesworth,2001,4005,3439,#00ffcc,7
Bassingbourn-cum-Kneesworth,2011,3583,4005,#00ffcc,9
Brampton,1801,780,780,#C8BDFF,8
Brampton,1811,809,780,#C8BDFF,8
Brampton,1821,1064,809,#C8BDFF,7
Brampton,1831,1064,1064,#C8BDFF,8
Brampton,1841,1164,1064,#C8BDFF,9
Brampton,1851,1281,1164,#C8BDFF,8
Brampton,1861,1270,1281,#C8BDFF,8
Brampton,1871,1188,1270,#C8BDFF,8
Brampton,1881,1203,1188,#C8BDFF,8
Brampton,1891,1075,1203,#C8BDFF,8
Brampton,1901,1020,1075,#C8BDFF,9
Brampton,1911,895,1020,#C8BDFF,9
Brampton,1921,930,895,#C8BDFF,9
Brampton,1931,1031,930,#C8BDFF,9
Brampton,1951,1718,1031,#C8BDFF,8
Brampton,1961,3068,1718,#C8BDFF,3
Brampton,1971,4494,3068,#C8BDFF,3
Brampton,1981,4363,4494,#C8BDFF,3
Brampton,1991,4508,4363,#C8BDFF,4
Brampton,2001,5030,4508,#C8BDFF,5
Brampton,2011,4862,5030,#C8BDFF,6
Buckden,1801,869,869,#C8BDFF,6
Buckden,1811,924,869,#C8BDFF,7
Buckden,1821,973,924,#C8BDFF,8
Buckden,1831,1095,973,#C8BDFF,7
Buckden,1841,1209,1095,#C8BDFF,8
Buckden,1851,1172,1209,#C8BDFF,9
Buckden,1861,1099,1172,#C8BDFF,10
Buckden,1871,1009,1099,#C8BDFF,10
Buckden,1881,1044,1009,#C8BDFF,10
Buckden,1891,1048,1044,#C8BDFF,9
Buckden,1901,1021,1048,#C8BDFF,8
Buckden,1911,995,1021,#C8BDFF,8
Buckden,1921,998,995,#C8BDFF,8
Buckden,1931,1037,998,#C8BDFF,8
Buckden,1951,1057,1037,#C8BDFF,9
Buckden,1961,1158,1057,#C8BDFF,9
Buckden,1971,2010,1158,#C8BDFF,8
Buckden,1981,2604,2010,#C8BDFF,8
Buckden,1991,2457,2604,#C8BDFF,10
Buckden,2001,2515,2457,#C8BDFF,10
Buckden,2011,2805,2515,#C8BDFF,11
Burwell,1841,1705,1705,#00ffcc,7
Burwell,1851,2040,1705,#00ffcc,6
Burwell,1861,1876,2040,#00ffcc,6
Burwell,1871,2023,1876,#00ffcc,6
Burwell,1881,2023,2023,#00ffcc,5
Burwell,1891,2023,2023,#00ffcc,5
Burwell,1901,2023,2023,#00ffcc,4
Burwell,1911,2023,2023,#00ffcc,5
Burwell,1921,2023,2023,#00ffcc,5
Burwell,1931,2023,2023,#00ffcc,6
Burwell,1951,2023,2023,#00ffcc,6
Burwell,1961,2734,2023,#00ffcc,4
Burwell,1971,4032,2734,#00ffcc,4
Burwell,1981,4257,4032,#00ffcc,4
Burwell,1991,4531,4257,#00ffcc,3
Burwell,2001,5833,4531,#00ffcc,3
Burwell,2011,6309,5833,#00ffcc,4
Cambourne,2011,8186,8186,#00ffcc,3
Chatteris,1801,2393,2393,#3333ff,2
Chatteris,1811,2580,2393,#3333ff,2
Chatteris,1821,3280,2580,#3333ff,2
Chatteris,1831,4177,3280,#3333ff,2
Chatteris,1841,4813,4177,#3333ff,2
Chatteris,1851,5138,4813,#3333ff,2
Chatteris,1861,4731,5138,#3333ff,2
Chatteris,1871,4765,4731,#3333ff,2
Chatteris,1881,4712,4765,#3333ff,2
Chatteris,1891,4587,4712,#3333ff,2
Chatteris,1901,4711,4587,#3333ff,2
Chatteris,1911,5259,4711,#3333ff,2
Chatteris,1921,5084,5259,#3333ff,2
Chatteris,1931,5153,5084,#3333ff,2
Chatteris,1951,5552,5153,#3333ff,2
Chatteris,1961,5505,5552,#3333ff,2
Chatteris,1971,5578,5505,#3333ff,2
Chatteris,1981,6215,5578,#3333ff,2
Chatteris,1991,7138,6215,#3333ff,2
Chatteris,2001,8820,7138,#3333ff,2
Chatteris,2011,10453,8820,#3333ff,2
Cottenham,1801,1088,1088,#00ffcc,3
Cottenham,1811,1224,1088,#00ffcc,3
Cottenham,1821,1488,1224,#00ffcc,3
Cottenham,1831,1635,1488,#00ffcc,4
Cottenham,1841,1833,1635,#00ffcc,4
Cottenham,1851,2314,1833,#00ffcc,3
Cottenham,1861,2415,2314,#00ffcc,3
Cottenham,1871,2496,2415,#00ffcc,4
Cottenham,1881,2458,2496,#00ffcc,4
Cottenham,1891,2517,2458,#00ffcc,4
Cottenham,1901,2393,2517,#00ffcc,3
Cottenham,1911,2416,2393,#00ffcc,3
Cottenham,1921,2470,2416,#00ffcc,4
Cottenham,1931,2386,2470,#00ffcc,4
Cottenham,1951,2440,2386,#00ffcc,4
Cottenham,1961,2415,2440,#00ffcc,7
Cottenham,1971,3540,2415,#00ffcc,5
Cottenham,1981,4125,3540,#00ffcc,6
Cottenham,1991,4393,4125,#00ffcc,5
Cottenham,2001,5652,4393,#00ffcc,4
Cottenham,2011,6095,5652,#00ffcc,5
Downham,1801,844,844,#ff5050,7
Downham,1811,1144,844,#ff5051,4
Downham,1821,1350,1144,#ff5052,5
Downham,1831,1722,1350,#ff5053,3
Downham,1841,2140,1722,#ff5054,3
Downham,1851,2299,2140,#ff5055,4
Downham,1861,2158,2299,#ff5056,5
Downham,1871,2201,2158,#ff5057,5
Downham,1881,1965,2201,#ff5058,6
Downham,1891,1873,1965,#ff5059,6
Downham,1901,1801,1873,#ff5060,5
Downham,1911,1887,1801,#ff5061,6
Downham,1921,1991,1887,#ff5062,6
Downham,1931,2044,1991,#ff5063,5
Downham,1951,1905,2044,#ff5064,7
Downham,1961,1800,1905,#ff5065,8
