name,year,value,lastValue,rank
Bar Hill,1971,674,674,11
Bar Hill,1981,2434,674,10
Bar Hill,1991,4285,2434,6
Bar Hill,2001,4233,4285,6
Bar Hill,2011,4032,4233,7
Bassingbourn-cum-Kneesworth,1801,948,0,5
Bassingbourn-cum-Kneesworth,1811,982,948,6
Bassingbourn-cum-Kneesworth,1821,1213,982,6
Bassingbourn-cum-Kneesworth,1831,1446,1213,5
Bassingbourn-cum-Kneesworth,1841,1774,1446,5
Bassingbourn-cum-Kneesworth,1851,2148,1774,5
Bassingbourn-cum-Kneesworth,1861,2213,2148,4
Bassingbourn-cum-Kneesworth,1871,2730,2213,3
Bassingbourn-cum-Kneesworth,1881,2717,2730,3
Bassingbourn-cum-Kneesworth,1891,2629,2717,3
Bassingbourn-cum-Kneesworth,1901,1234,2629,7
Bassingbourn-cum-Kneesworth,1911,1201,1234,7
Bassingbourn-cum-Kneesworth,1921,1136,1201,7
Bassingbourn-cum-Kneesworth,1931,1138,1136,7
Bassingbourn-cum-Kneesworth,1951,2687,1138,3
Bassingbourn-cum-Kneesworth,1961,2653,2687,5
Bassingbourn-cum-Kneesworth,1971,3016,2653,6
Bassingbourn-cum-Kneesworth,1981,4249,3016,5
Bassingbourn-cum-Kneesworth,1991,3439,4249,7
Bassingbourn-cum-Kneesworth,2001,4005,3439,7
Bassingbourn-cum-Kneesworth,2011,3583,4005,9
Brampton,1801,780,780,8
Brampton,1811,809,780,8
Brampton,1821,1064,809,7
Brampton,1831,1064,1064,8
Brampton,1841,1164,1064,9
Brampton,1851,1281,1164,8
Brampton,1861,1270,1281,8
Brampton,1871,1188,1270,8
Brampton,1881,1203,1188,8
Brampton,1891,1075,1203,8
Brampton,1901,1020,1075,9
Brampton,1911,895,1020,9
Brampton,1921,930,895,9
Brampton,1931,1031,930,9
Brampton,1951,1718,1031,8
Brampton,1961,3068,1718,3
Brampton,1971,4494,3068,3
Brampton,1981,4363,4494,3
Brampton,1991,4508,4363,4
Brampton,2001,5030,4508,5
Brampton,2011,4862,5030,6
Buckden,1801,869,869,6
Buckden,1811,924,869,7
Buckden,1821,973,924,8
Buckden,1831,1095,973,7
Buckden,1841,1209,1095,8
Buckden,1851,1172,1209,9
Buckden,1861,1099,1172,10
Buckden,1871,1009,1099,10
Buckden,1881,1044,1009,10
Buckden,1891,1048,1044,9
Buckden,1901,1021,1048,8
Buckden,1911,995,1021,8
Buckden,1921,998,995,8
Buckden,1931,1037,998,8
Buckden,1951,1057,1037,9
Buckden,1961,1158,1057,9
Buckden,1971,2010,1158,8
Buckden,1981,2604,2010,8
Buckden,1991,2457,2604,10
Buckden,2001,2515,2457,10
Buckden,2011,2805,2515,11
Burwell,1841,1705,1705,7
Burwell,1851,2040,1705,6
Burwell,1861,1876,2040,6
Burwell,1871,2023,1876,6
Burwell,1881,2023,2023,5
Burwell,1891,2023,2023,5
Burwell,1901,2023,2023,4
Burwell,1911,2023,2023,5
Burwell,1921,2023,2023,5
Burwell,1931,2023,2023,6
Burwell,1951,2023,2023,6
Burwell,1961,2734,2023,4
Burwell,1971,4032,2734,4
Burwell,1981,4257,4032,4
Burwell,1991,4531,4257,3
Burwell,2001,5833,4531,3
Burwell,2011,6309,5833,4
Cambourne,2011,8186,8186,3
Chatteris,1801,2393,2393,2
Chatteris,1811,2580,2393,2
Chatteris,1821,3280,2580,2
Chatteris,1831,4177,3280,2
Chatteris,1841,4813,4177,2
Chatteris,1851,5138,4813,2
Chatteris,1861,4731,5138,2
Chatteris,1871,4765,4731,2
Chatteris,1881,4712,4765,2
Chatteris,1891,4587,4712,2
Chatteris,1901,4711,4587,2
Chatteris,1911,5259,4711,2
Chatteris,1921,5084,5259,2
Chatteris,1931,5153,5084,2
Chatteris,1951,5552,5153,2
Chatteris,1961,5505,5552,2
Chatteris,1971,5578,5505,2
Chatteris,1981,6215,5578,2
Chatteris,1991,7138,6215,2
Chatteris,2001,8820,7138,2
Chatteris,2011,10453,8820,2
Cottenham,1801,1088,1088,3
Cottenham,1811,1224,1088,3
Cottenham,1821,1488,1224,3
Cottenham,1831,1635,1488,4
Cottenham,1841,1833,1635,4
Cottenham,1851,2314,1833,3
Cottenham,1861,2415,2314,3
Cottenham,1871,2496,2415,4
Cottenham,1881,2458,2496,4
Cottenham,1891,2517,2458,4
Cottenham,1901,2393,2517,3
Cottenham,1911,2416,2393,3
Cottenham,1921,2470,2416,4
Cottenham,1931,2386,2470,4
Cottenham,1951,2440,2386,4
Cottenham,1961,2415,2440,7
Cottenham,1971,3540,2415,5
Cottenham,1981,4125,3540,6
Cottenham,1991,4393,4125,5
Cottenham,2001,5652,4393,4
Cottenham,2011,6095,5652,5
Downham,1801,844,844,7
Downham,1811,1144,844,4
Downham,1821,1350,1144,5
Downham,1831,1722,1350,3
Downham,1841,2140,1722,3
Downham,1851,2299,2140,4
Downham,1861,2158,2299,5
Downham,1871,2201,2158,5
Downham,1881,1965,2201,6
Downham,1891,1873,1965,6
Downham,1901,1801,1873,5
Downham,1911,1887,1801,6
Downham,1921,1991,1887,6
Downham,1931,2044,1991,5
Downham,1951,1905,2044,7
Downham,1961,1800,1905,8
Downham,1971,1816,1800,9
Downham,1981,1948,1816,11
Downham,1991,2169,1948,11
Downham,2001,2409,2169,11
Downham,2011,2589,2409,12
Elm,1801,951,951,4
Elm,1811,1020,951,5
Elm,1821,1368,1020,4
Elm,1831,1410,1368,6
Elm,1841,1742,1410,6
Elm,1851,1819,1742,7
Elm,1861,1729,1819,7
Elm,1871,1803,1729,7
Elm,1881,1795,1803,7
Elm,1891,1779,1795,7
Elm,1901,1798,1779,6
Elm,1911,2140,1798,4
Elm,1921,2738,2140,3
Elm,1931,2570,2738,3
Elm,1951,2402,2570,5
Elm,1961,2492,2402,6
Elm,1971,2886,2492,7
Elm,1981,3223,2886,7
Elm,1991,3194,3223,8
Elm,2001,3295,3194,8
Elm,2011,3962,3295,8
Ely,1801,3948,3948,1
Ely,1811,4249,3948,1
Ely,1821,5079,4249,1
Ely,1831,6189,5079,1
Ely,1841,6849,6189,1
Ely,1851,7632,6849,1
Ely,1861,7982,7632,1
Ely,1871,8166,7982,1
Ely,1881,8171,8166,1
Ely,1891,8017,8171,1
Ely,1901,7803,8017,1
Ely,1911,7917,7803,1
Ely,1921,7690,7917,1
Ely,1931,8381,7690,1
Ely,1951,9988,8381,1
Ely,1961,9803,9988,1
Ely,1971,9966,9803,1
Ely,1981,10392,9966,1
Ely,1991,11291,10392,1
Ely,2001,15102,11291,1
Ely,2011,20256,15102,1
Fenstanton,1801,704,704,9
Fenstanton,1811,724,704,9
Fenstanton,1821,776,724,9
Fenstanton,1831,968,776,9
Fenstanton,1841,1032,968,10
Fenstanton,1851,1070,1032,10
Fenstanton,1861,1120,1070,9
Fenstanton,1871,1074,1120,9
Fenstanton,1881,1067,1074,9
Fenstanton,1891,975,1067,10
Fenstanton,1901,863,975,10
Fenstanton,1911,863,863,10
Fenstanton,1921,798,863,10
Fenstanton,1931,771,798,10
Fenstanton,1951,972,771,10
Fenstanton,1961,1061,972,10
Fenstanton,1971,1659,1061,10
Fenstanton,1981,2480,1659,9
Fenstanton,1991,2600,2480,9
Fenstanton,2001,2868,2600,9
Fenstanton,2011,3242,2868,10
